City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Dudinka,100,RU,1570837818,70,69.41,86.18,-1.57,9.074
Zhoucheng,90,CN,1570837818,88,31.35,119.33,20.0,2.0
Evensk,100,RU,1570837818,97,61.92,159.24,-0.92,2.979
Kavieng,97,PG,1570837819,67,-2.57,150.8,28.74,1.906
Praia da Vitoria,75,PT,1570837819,87,38.73,-27.07,16.0,4.619
Jonava,100,LT,1570837819,93,55.07,24.28,10.02,5.1
Hovd,89,NO,1570837819,93,63.83,10.7,4.15,2.6
Batagay-Alyta,98,RU,1570837820,88,67.8,130.41,-8.69,6.193
Surt,0,LY,1570837820,86,31.21,16.59,22.23,3.41
Yar-Sale,30,RU,1570837820,84,66.83,70.83,-0.03,5.279
Bilma,100,NE,1570837820,17,18.69,12.92,33.5,7.899
Barra do Garcas,96,BR,1570837821,79,-15.89,-52.26,23.6,3.901
Aksu,15,KZ,1570837821,61,52.04,76.93,9.97,3.166
Kandrian,100,PG,1570837821,84,-6.21,149.55,27.04,2.459
Lagoa,20,PT,1570837821,88,37.14,-8.45,20.29,1.5
Zaozerne,89,UA,1570837822,74,51.37,23.94,10.1,5.713
Visby,100,SE,1570837822,93,57.64,18.3,10.6,4.6
Vila Velha,20,BR,1570837822,74,-3.71,-38.6,27.89,5.7
Maryville,1,US,1570837822,46,35.76,-83.97,21.25,2.179
Subiaco,75,AU,1570837823,87,-31.95,115.83,14.55,4.6
Grand Gaube,40,MU,1570837823,83,-20.01,57.66,21.6,3.1
Homer,90,US,1570837823,42,59.64,-151.54,7.27,3.6
Porto Novo,20,BR,1570837823,69,-23.68,-45.44,23.0,0.414
Yungay,49,PE,1570837824,72,-9.14,-77.74,7.34,2.353
Vieques,40,PR,1570837824,88,18.43,-65.83,26.0,1.305
Terrasini,0,IT,1570837824,88,38.15,13.08,18.66,2.1
Skibbereen,100,IE,1570837825,93,51.55,-9.27,8.0,3.1
Touros,20,BR,1570837825,78,-5.2,-35.46,25.0,2.6
Goiatuba,94,BR,1570837825,56,-18.02,-49.36,23.83,2.117
Calabozo,100,VE,1570837825,97,8.92,-67.43,22.34,0.925
Iskateley,94,RU,1570837825,91,67.68,53.15,0.9,6.13
Gornesti,57,RO,1570837826,93,46.67,24.65,4.53,2.6
Moa,12,CU,1570837826,93,20.66,-74.95,21.49,1.674
Svetlogorsk,100,RU,1570837826,75,53.14,59.15,5.55,3.998
Coihaique,40,CL,1570837827,45,-45.58,-72.07,9.0,4.6
Cururupu,29,BR,1570837827,97,-1.82,-44.87,22.44,1.222
Abu Kamal,100,SY,1570837827,32,34.45,40.92,24.4,3.099
Tocopilla,0,CL,1570837827,24,-22.09,-70.2,12.09,1.024
Kizukuri,75,JP,1570837828,100,40.81,140.39,15.48,3.6
Palasbari,75,IN,1570837828,100,26.14,91.55,24.0,1.001
Chenghai,75,CN,1570837828,94,23.46,116.77,27.0,3.0
Kaniama,100,CD,1570837828,93,-7.57,24.18,19.24,0.971
Rio Gallegos,40,AR,1570837828,45,-51.62,-69.22,8.0,15.9
Neryungri,94,RU,1570837829,84,56.66,124.71,-13.4,3.455
Mao,40,DO,1570837829,70,19.55,-71.08,28.16,3.1
Vestmannaeyjar,100,IS,1570837829,75,63.44,-20.27,7.11,3.946
Misawa,75,JP,1570837829,100,40.75,141.38,15.7,3.6
Espanola,95,CA,1570837830,41,46.27,-81.77,15.92,0.45
Wanning,97,AT,1570837830,100,48.64,13.53,6.42,1.0
Yerbogachen,33,RU,1570837830,87,61.28,108.01,-9.59,2.038
Puerto Carreno,75,CO,1570837831,88,6.19,-67.49,26.0,2.377
Kalabagh,0,PK,1570837831,77,34.07,73.37,20.0,2.059
Kaoma,43,ZM,1570837831,84,-14.8,24.8,18.27,2.393
Jumla,80,NP,1570837832,88,29.28,82.18,4.79,1.325
Harper,90,US,1570837832,53,30.3,-99.24,10.11,5.1
Sibolga,100,ID,1570837832,95,1.74,98.78,22.03,0.95
Guane,26,CU,1570837832,76,22.2,-84.09,28.31,3.632
Acapulco,40,MX,1570837268,74,16.86,-99.88,30.0,2.1
Talara,0,PE,1570837833,89,-4.58,-81.27,17.21,7.067
Kamenka,58,MD,1570837833,91,48.03,28.7,1.67,1.776
Qixingtai,81,CN,1570837833,90,30.41,111.89,16.67,4.678
Houma,43,CN,1570837834,80,35.63,111.36,14.24,1.925
Olenegorsk,77,RU,1570837834,94,68.14,33.28,-4.34,1.183
Havre-Saint-Pierre,20,CA,1570837834,100,50.23,-63.6,3.0,1.0
Bandar-e Lengeh,0,IR,1570837835,73,26.56,54.88,29.94,0.584
Saint Anthony,1,US,1570837835,26,43.97,-111.68,5.96,3.1
Izhma,92,RU,1570837835,95,65.01,53.91,0.94,1.568
Meulaboh,98,ID,1570837836,78,4.14,96.13,26.57,3.094
Betare Oya,98,CM,1570837836,98,5.6,14.08,18.25,0.78
Vaitape,4,PF,1570837836,77,-16.52,-151.75,24.04,9.582
Sakaiminato,90,JP,1570837837,83,35.55,133.23,20.46,10.8
Vitim,71,RU,1570837837,90,59.44,112.57,-8.82,2.622
Sillamae,100,EE,1570837837,89,59.4,27.75,10.45,8.323
Port Macquarie,90,AU,1570837837,87,-31.43,152.91,14.69,2.6
Kingaroy,90,AU,1570837837,71,-26.54,151.84,12.66,8.2
Camabatela,48,AO,1570837838,97,-8.19,15.37,17.5,1.867
Ilabaya,0,PE,1570837838,68,-17.42,-70.51,13.79,1.191
General Pico,94,AR,1570837838,40,-35.66,-63.75,20.83,5.315
Birao,66,CF,1570837839,89,10.3,22.78,22.84,2.034
Mosquera,75,CO,1570837839,93,4.71,-74.23,13.0,2.1
Frankfurt,72,DE,1570837839,93,49.68,10.53,9.23,3.6
Cap Malheureux,40,MU,1570837840,83,-19.98,57.61,21.61,3.1
Sao Felix do Xingu,13,BR,1570837840,71,-6.64,-51.99,24.66,1.419
Portobelo,75,PA,1570837840,83,9.55,-79.65,27.21,2.1
Palmeira das Missoes,0,BR,1570837841,64,-27.9,-53.31,23.04,4.035
Marsh Harbour,18,BS,1570837841,80,26.54,-77.06,25.74,9.054
Manzil Salim,0,TN,1570837841,59,35.86,8.48,16.0,3.1
Malabo,49,CD,1570837841,89,1.56,30.43,19.68,2.467
Yugorsk,100,RU,1570837841,95,61.32,63.33,3.58,4.822
Umarkot,0,PK,1570837842,55,25.37,69.74,27.34,2.69
Saint-Leu,9,RE,1570837842,56,-21.15,55.28,19.39,3.6
Carauari,19,BR,1570837842,77,-4.88,-66.9,25.64,1.898
Moron,9,HT,1570837843,76,18.56,-74.26,26.96,2.452
Morki,50,RU,1570837843,96,56.43,49.0,4.02,2.147
Tabou,95,CI,1570837843,96,4.42,-7.36,23.75,2.047
Kruisfontein,69,ZA,1570837843,53,-34.0,24.73,11.43,1.8
Kailua,75,US,1570837844,74,21.39,-157.74,29.13,2.1
Saveh,0,IR,1570837844,40,35.02,50.36,14.17,1.121
Coquimbo,48,CL,1570837845,71,-29.95,-71.34,14.0,4.1
Pangai,20,TO,1570837845,74,-19.8,-174.35,27.0,6.2
Buala,82,SB,1570837845,70,-8.15,159.59,29.19,3.39
Maymyo,40,MM,1570837845,88,22.03,96.47,25.0,0.814
Copiapo,0,CL,1570837845,71,-27.37,-70.33,14.0,5.1
Zhanaozen,50,KZ,1570837846,34,43.35,52.85,12.61,6.718
Rassvet,100,RU,1570837846,84,49.11,45.47,11.53,3.924
Morehead,90,US,1570837846,64,38.18,-83.43,21.49,1.615
Cairns,40,AU,1570837436,58,-16.92,145.77,28.1,5.1
Bintulu,75,MY,1570837847,94,3.17,113.03,23.93,1.5
Aguascalientes,75,MX,1570837847,34,21.88,-102.3,30.0,2.6
Barcelos,100,BR,1570837847,87,-0.97,-62.93,23.77,0.654
Tapiramuta,3,BR,1570837847,73,-11.85,-40.79,19.9,4.42
Abalak,66,NE,1570837848,32,15.46,6.28,31.25,1.99
Daigo,90,JP,1570837848,94,36.78,140.36,21.47,6.2
Banda Aceh,95,ID,1570837848,92,5.56,95.32,23.05,1.33
Nioro,16,GM,1570837848,67,13.79,-15.05,26.53,4.966
Atar,0,MR,1570837849,16,20.52,-13.05,28.94,3.38
Sollies-Pont,75,FR,1570837849,93,43.19,6.04,14.17,1.5
Cockburn Town,24,TC,1570837849,71,21.46,-71.14,27.47,3.824
Kalety,82,PL,1570837849,76,50.56,18.89,10.19,2.1
Nouadhibou,93,MR,1570837850,50,20.93,-17.03,26.0,7.7
Lipin Bor,100,RU,1570837850,94,60.26,37.97,6.15,3.653
Neuquen,100,AR,1570837850,23,-38.95,-68.06,23.0,2.6
Verkhnyaya Inta,85,RU,1570837850,81,65.99,60.32,-0.54,2.757
Lorengau,100,PG,1570837851,68,-2.02,147.27,28.71,1.97
Chanderi,0,IN,1570837851,56,24.7,78.12,21.4,0.472
Choix,16,MX,1570837851,39,26.71,-108.33,32.8,5.769
Marfino,40,RU,1570837852,93,56.07,37.56,8.18,4.0
Aracati,0,BR,1570837852,69,-4.56,-37.77,26.25,4.458
Kirksville,1,US,1570837852,55,40.19,-92.58,5.2,6.7
Gushikawa,75,JP,1570837853,74,26.35,127.87,25.85,8.2
Sibu,75,MY,1570837853,94,2.29,111.83,23.93,1.0
Rudesheim,70,DE,1570837853,82,49.85,7.82,11.31,5.7
Kulhudhuffushi,22,MV,1570837853,72,6.62,73.07,28.18,2.28
Uvat,100,RU,1570837853,87,59.14,68.9,2.26,2.842
Calbuco,75,CL,1570837854,87,-41.77,-73.13,12.0,3.1
Merauke,99,ID,1570837854,62,-8.49,140.4,29.79,1.666
Umm Kaddadah,42,SD,1570837854,37,13.6,26.69,30.38,3.948
Sile,1,US,1570837854,12,35.56,-106.37,14.3,4.057
Iquique,20,CL,1570837855,63,-20.22,-70.14,18.0,4.1
Sao Filipe,0,CV,1570837855,80,14.9,-24.5,25.51,5.342
Zanjan,93,IR,1570837855,40,36.67,48.48,11.16,2.819
Gat,0,SN,1570837856,88,14.69,-16.54,26.0,3.1
Inhambane,99,MZ,1570837856,78,-23.87,35.38,21.7,7.601
Petropavlovsk-Kamchatskiy,40,RU,1570837856,81,53.05,158.65,9.0,4.0
Waldoboro,90,US,1570837856,66,44.1,-69.38,13.52,10.3
Kaitangata,100,NZ,1570837857,78,-46.28,169.85,7.78,5.36
Andilamena,63,MG,1570837857,89,-17.01,48.57,16.79,1.948
Mersin,100,TR,1570837857,94,36.81,34.63,20.0,1.0
San Lorenzo,75,HN,1570837857,59,13.43,-87.45,32.0,1.004
Batemans Bay,99,AU,1570837858,72,-35.71,150.18,10.35,3.58
Woodward,1,US,1570837858,25,36.43,-99.39,11.77,3.1
Ambanja,17,MG,1570837858,86,-13.68,48.45,24.15,1.898
Lumut,75,BN,1570837858,88,4.66,114.45,24.13,1.0
Wuwei,95,CN,1570837859,66,37.93,102.64,12.22,2.813
Lincoln Village,75,LR,1570837859,94,6.6,-10.38,25.0,5.1
Saint-Joseph,0,FR,1570837859,87,43.56,6.97,12.59,2.6
Sabang,95,PH,1570837860,95,13.8,121.11,25.0,1.13
